Rank,Player,Position,College,Country,Score,Tier,Trait Score,Risk Penalty
1,"Cooper Flagg",SF/PF,Duke,USA,89.86,Tier 2 - All-Star,91.11,1.25
2,"Dylan Harper",SG/PG,Rutgers,USA,80.17,Tier 3 - Starter,82.67,2.5
3,"V. J. Edgecombe",SG/SF,Baylor,Bahamas,79.28,Tier 3 - Starter,81.78,2.5
4,"Kon Knueppel",SG/SF,Duke,USA,74.83,Tier 4 - Rotation,77.33,2.5
5,"Liam McNeeley",SF/PF,UConn,USA,74.39,Tier 4 - Rotation,76.89,2.5
6,"Ace Bailey",SF/PF,Rutgers,USA,69.97,Tier 4 - Rotation,76.22,6.25
7,"Tre Johnson",SG/PG,Texas,USA,66.33,Tier 5 - Developmental,71.33,5
8,"Asa Newell",PF/C,Georgia,USA,66.25,Tier 5 - Developmental,70,3.75
9,"Bogoljub Markovic",C/PF,Mega MIS,Serbia,59.31,Tier 5 - Developmental,65.56,6.25
10,"Khaman Malauch",C/PF,Duke,South Sudan,56.58,Tier 5 - Developmental,65.33,8.75
