first_name,last_name,position,secondary_position,height_inches,weight_lbs,wingspan_inches,birth_date,college,country,draft_class
Cameron,Boozer,PF,C,80,245,84,2007-07-18,Duke,USA,2026
Darryn,Peterson,SG,PG,77,200,82,2007-09-01,Kansas,USA,2026
Koa,Peat,SF,PF,79,220,83,2006-01-15,Arizona,USA,2026
Brandon,McCoy,C,PF,83,250,90,2006-06-12,Alabama,USA,2026
Jalen,Harcum,PG,SG,75,185,78,2006-04-22,NC State,USA,2026
Mikel,Brown,PG,SG,74,180,77,2007-02-08,Miami,USA,2026
Tyran,Stokes,PF,SF,79,230,85,2007-05-20,LSU,USA,2026
Caleb,Holt,SF,SG,78,210,81,2006-11-03,Alabama,USA,2026
Maddox,Guers,C,PF,84,240,88,2006-08-14,UConn,USA,2026
Nikolas,Khamenia,SF,PF,79,215,82,2006-09-07,Duke,USA,2026
AJ,Dybantsa,SF,PF,80,210,83,2007-01-29,BYU,USA,2026
Darius,Acuff,PG,SG,73,175,76,2007-03-15,Arkansas,USA,2026
Meleek,Thomas,SG,PG,76,195,79,2006-06-20,Pittsburgh,USA,2026
Chris,Cenac,C,PF,83,245,89,2006-09-12,Texas,USA,2026
Tounde,Yessoufou,PF,SF,79,235,86,2007-08-05,Baylor,USA,2026
Eli,Ellis,SG,PG,76,190,78,2006-02-14,Tennessee,USA,2026
Jalen,Leach,PG,SG,74,180,77,2006-12-03,Northwestern,USA,2026
Kanon,Killing,PF,C,81,225,84,2006-05-18,Wisconsin,USA,2026
Malik,Presley,SF,SG,78,205,80,2006-10-28,Texas A&M,USA,2026
Brayden,Burries,SG,SF,77,200,81,2007-04-02,Arizona State,USA,2026
Liam,McNeeley,SF,PF,79,215,82,2005-07-22,UConn,USA,2026
Asa,Newell,PF,C,81,225,85,2005-10-05,Georgia,USA,2026
Egor,Demin,SF,SG,79,210,81,2006-03-15,BYU,Russia,2026
Hugo,Gonzalez,SF,SG,78,205,80,2006-07-22,Real Madrid,Spain,2026
Will,Riley,SF,SG,79,210,82,2006-01-10,Illinois,Canada,2026
Kasparas,Jakucionis,PG,SG,76,185,78,2006-05-28,Illinois,Lithuania,2026
Ben,Ahmed,C,PF,84,250,90,2006-11-14,Gonzaga,Canada,2026
Sidi,Gueye,PF,C,82,230,87,2007-02-03,Kentucky,Senegal,2026
Eric,Dailey,F,G,78,215,83,2005-09-12,SMU,USA,2026
Oumar,Ballo,C,PF,83,260,91,2005-06-28,Indiana,Mali,2026
Desmond,Yiamah,PF,C,81,240,86,2006-08-18,Washington,USA,2026
Great,Osobor,C,PF,83,255,88,2005-03-15,Washington State,UK,2026
Vlad,Goldin,C,PF,84,240,87,2004-06-24,Florida,Russia,2026
John,Tonje,SG,SF,77,210,80,2003-05-12,Wisconsin,USA,2026
Walter,Clayton,PG,SG,73,185,76,2003-03-18,Florida,USA,2026
Jalen,Leach,PG,SG,74,180,77,2006-12-03,Northwestern,USA,2026
Vladimír,Brooks,SG,SF,77,200,81,2006-09-22,Georgia Tech,Serbia,2026
Ja'Kobi,Gillespie,SG,PG,75,190,77,2002-08-25,Maryland,USA,2026
Jalen,Leach,PG,SG,74,180,77,2006-12-03,Northwestern,USA,2026
Great,Osobor,C,PF,83,255,88,2005-03-15,Washington State,UK,2026
