player_id,shooting_risk,physical_translation_risk,creation_translation_risk,defensive_role_risk,processing_risk,age_upside_risk,motor_consistency_risk,medical_risk,scout_id,evaluated_at
1,1,0,1,0,0,0,0,0,system,2026-03-15
2,1,0,1,0,0,0,0,0,system,2026-03-15
3,2,0,1,1,1,0,0,0,system,2026-03-15
4,2,1,2,0,1,1,0,0,system,2026-03-15
5,1,0,1,1,0,0,0,0,system,2026-03-15
6,2,0,1,1,0,0,0,0,system,2026-03-15
7,2,0,2,1,1,0,0,0,system,2026-03-15
8,1,0,1,1,0,0,0,0,system,2026-03-15
9,2,1,2,0,1,0,0,0,system,2026-03-15
10,1,0,1,1,1,0,0,0,system,2026-03-15
