player_id,shooting_risk,physical_translation_risk,creation_translation_risk,defensive_role_risk,processing_risk,age_upside_risk,motor_consistency_risk,medical_risk,scout_id,evaluated_at
1,1,0,1,0,0,0,0,0,system,2026-03-30
2,1,0,1,0,0,0,0,0,system,2026-03-30
3,1,0,1,0,0,0,0,0,system,2026-03-30
4,2,0,1,1,1,0,0,0,system,2026-03-30
5,2,0,1,1,0,0,0,0,system,2026-03-30
6,2,1,2,0,1,1,0,0,system,2026-03-30
7,2,0,1,1,1,0,0,0,system,2026-03-30
8,2,0,1,1,0,0,0,0,system,2026-03-30
9,2,1,2,0,1,1,0,0,system,2026-03-30
10,2,0,1,1,0,0,0,0,system,2026-03-30
11,2,0,1,1,0,0,0,0,system,2026-03-30
12,2,0,2,1,1,0,0,0,system,2026-03-30
13,1,0,1,1,0,0,0,0,system,2026-03-30
14,2,1,2,0,1,1,0,0,system,2026-03-30
15,1,0,1,1,0,0,0,0,system,2026-03-30
16,2,0,1,1,0,0,0,0,system,2026-03-30
17,1,0,1,1,0,0,0,0,system,2026-03-30
18,2,0,1,1,0,0,0,0,system,2026-03-30
19,2,0,1,1,0,0,0,0,system,2026-03-30
20,2,0,1,1,0,0,0,0,system,2026-03-30
21,1,0,1,1,0,0,0,0,system,2026-03-30
22,2,0,2,1,1,0,0,0,system,2026-03-30
23,2,1,2,0,1,0,0,0,system,2026-03-30
24,2,0,1,1,0,0,0,0,system,2026-03-30
25,2,0,2,1,1,0,0,0,system,2026-03-30
26,2,0,1,1,0,0,0,0,system,2026-03-30
27,1,0,1,1,0,0,0,0,system,2026-03-30
28,2,1,2,0,1,0,0,0,system,2026-03-30
29,2,0,2,1,1,0,0,0,system,2026-03-30
30,2,0,1,1,0,0,0,0,system,2026-03-30
31,2,0,1,1,0,0,0,0,system,2026-03-30
32,2,1,2,0,1,0,0,0,system,2026-03-30
33,1,0,1,1,0,0,0,0,system,2026-03-30
34,1,0,1,1,0,1,0,0,system,2026-03-30
35,1,0,1,1,0,1,0,0,system,2026-03-30
36,2,0,1,1,0,0,0,0,system,2026-03-30
37,1,0,1,1,0,0,0,0,system,2026-03-30
38,1,0,1,1,0,1,0,0,system,2026-03-30
39,1,0,1,1,0,1,0,0,system,2026-03-30
40,2,0,2,0,1,0,0,0,system,2026-03-30
41,2,0,1,1,0,0,0,0,system,2026-03-30
42,2,0,1,1,0,0,0,0,system,2026-03-30
43,2,0,2,0,1,0,0,0,system,2026-03-30
44,2,0,2,0,1,0,0,0,system,2026-03-30
45,1,0,1,1,0,1,0,0,system,2026-03-30
46,2,0,1,1,0,0,0,0,system,2026-03-30
47,1,0,1,1,0,1,0,0,system,2026-03-30
48,2,1,2,0,1,0,0,0,system,2026-03-30
49,2,0,2,0,1,0,0,0,system,2026-03-30
50,2,1,2,0,1,0,0,0,system,2026-03-30
51,2,0,2,0,1,0,0,0,system,2026-03-30
52,2,0,2,0,1,0,0,0,system,2026-03-30
53,1,0,1,1,0,1,0,0,system,2026-03-30
54,1,0,1,1,0,0,0,0,system,2026-03-30
55,1,0,1,1,0,1,0,0,system,2026-03-30
56,2,1,2,0,1,0,0,0,system,2026-03-30
57,1,0,1,1,0,1,0,0,system,2026-03-30
58,2,1,2,0,1,0,0,0,system,2026-03-30
59,2,0,1,1,0,0,0,0,system,2026-03-30
60,2,0,2,0,1,0,0,0,system,2026-03-30
61,2,0,1,1,0,0,0,0,system,2026-03-30
62,2,0,1,1,0,0,0,0,system,2026-03-30
63,1,0,1,1,0,1,0,0,system,2026-03-30
64,2,0,2,0,1,0,0,0,system,2026-03-30
65,2,1,2,0,1,0,0,0,system,2026-03-30
66,2,0,1,1,0,1,0,0,system,2026-03-30
67,2,0,1,1,0,1,0,0,system,2026-03-30
68,2,0,1,1,0,1,0,0,system,2026-03-30
69,2,0,1,1,0,0,0,0,system,2026-03-30
70,2,0,1,1,0,0,0,0,system,2026-03-30
71,2,0,1,1,0,0,0,0,system,2026-03-30
72,1,0,1,1,0,1,0,0,system,2026-03-30
73,2,1,2,0,1,0,0,0,system,2026-03-30
74,2,0,2,0,1,0,0,0,system,2026-03-30
75,2,0,1,1,0,1,0,0,system,2026-03-30
76,1,0,1,1,0,1,0,0,system,2026-03-30
77,1,0,1,1,0,1,0,0,system,2026-03-30
78,2,1,2,0,1,0,0,0,system,2026-03-30
79,2,0,2,0,1,0,0,0,system,2026-03-30
80,1,0,1,1,0,1,0,0,system,2026-03-30
81,1,0,1,1,0,1,0,0,system,2026-03-30
82,1,0,1,1,0,1,0,0,system,2026-03-30
83,2,0,2,0,1,0,0,0,system,2026-03-30
84,2,0,2,0,1,0,0,0,system,2026-03-30
85,1,0,1,1,0,1,0,0,system,2026-03-30
86,2,0,1,1,0,1,0,0,system,2026-03-30
87,1,0,1,1,0,1,0,0,system,2026-03-30
88,2,0,1,1,0,1,0,0,system,2026-03-30
89,2,0,2,0,1,0,0,0,system,2026-03-30
90,1,0,1,1,0,1,0,0,system,2026-03-30
91,1,0,1,1,0,1,0,0,system,2026-03-30
92,2,0,1,1,0,1,0,0,system,2026-03-30
93,1,0,1,1,0,1,0,0,system,2026-03-30
94,2,0,2,0,1,0,0,0,system,2026-03-30
95,2,1,2,0,1,0,0,0,system,2026-03-30
96,2,0,1,1,0,1,0,0,system,2026-03-30
97,2,0,2,0,1,0,0,0,system,2026-03-30
98,2,0,1,1,0,1,0,0,system,2026-03-30
99,1,0,1,1,0,1,0,0,system,2026-03-30
100,2,0,2,0,1,0,0,0,system,2026-03-30
