player_id,advantage_creation,decision_making,passing_creation,shooting_gravity,off_ball_value,processing_speed,scalability,defensive_versatility,confidence,scout_id,evaluated_at
1,8,8,7,7,7,8,8,7,4,system,2026-03-15
2,8,7,6,8,6,7,8,6,4,system,2026-03-15
3,7,6,5,6,7,6,7,7,4,system,2026-03-15
4,6,6,4,4,5,6,7,8,4,system,2026-03-15
5,7,7,7,6,6,7,7,5,4,system,2026-03-15
6,8,7,7,5,6,8,8,6,4,system,2026-03-15
7,7,5,4,5,6,5,7,7,4,system,2026-03-15
8,6,6,5,7,7,6,6,6,4,system,2026-03-15
9,6,6,4,4,5,6,7,7,4,system,2026-03-15
10,7,6,5,6,6,6,7,6,4,system,2026-03-15
11,8,6,5,7,6,6,8,6,4,system,2026-03-15
12,8,7,7,6,6,7,7,5,4,system,2026-03-15
13,7,6,5,7,7,6,7,6,4,system,2026-03-15
14,6,5,4,4,5,5,7,7,4,system,2026-03-15
15,6,5,4,5,6,5,7,6,4,system,2026-03-15
16,7,6,5,7,7,6,6,5,4,system,2026-03-15
17,7,7,6,6,6,7,7,5,4,system,2026-03-15
18,6,5,4,5,5,5,6,6,4,system,2026-03-15
19,6,6,4,6,6,6,6,5,4,system,2026-03-15
20,7,6,5,7,6,6,7,5,4,system,2026-03-15
21,7,7,5,8,8,7,7,6,4,system,2026-03-15
22,7,6,4,6,6,6,7,7,4,system,2026-03-15
23,7,6,5,6,6,6,7,5,4,system,2026-03-15
24,6,5,4,6,6,5,6,6,4,system,2026-03-15
25,7,6,5,7,7,6,7,5,4,system,2026-03-15
26,7,7,7,6,6,7,7,5,4,system,2026-03-15
27,6,5,4,4,5,5,7,7,4,system,2026-03-15
28,6,5,4,5,5,5,7,7,4,system,2026-03-15
29,7,6,5,6,6,6,6,5,4,system,2026-03-15
30,6,6,4,4,5,5,6,7,4,system,2026-03-15
31,6,5,4,5,5,5,7,6,4,system,2026-03-15
32,6,6,4,5,5,6,6,6,4,system,2026-03-15
33,6,6,4,6,6,6,6,5,4,system,2026-03-15
34,7,6,5,7,6,6,6,4,4,system,2026-03-15
35,8,7,7,7,6,7,7,4,4,system,2026-03-15
36,7,7,6,6,6,7,7,5,4,system,2026-03-15
37,7,6,5,7,6,6,6,5,4,system,2026-03-15
38,7,6,5,7,6,6,6,4,4,system,2026-03-15
39,7,7,6,6,6,7,7,5,4,system,2026-03-15
40,6,6,4,5,5,6,6,6,4,system,2026-03-15
