player_id,advantage_creation,decision_making,passing_creation,shooting_gravity,off_ball_value,processing_speed,scalability,defensive_versatility,confidence,scout_id,evaluated_at
1,8,8,7,7,7,8,8,7,4,system,2026-03-15
2,8,7,6,8,6,7,8,6,4,system,2026-03-15
3,7,6,5,6,7,6,7,7,4,system,2026-03-15
4,6,6,4,4,5,6,7,8,4,system,2026-03-15
5,7,7,7,6,6,7,7,5,4,system,2026-03-15
6,8,7,7,5,6,8,8,6,4,system,2026-03-15
7,7,5,4,5,6,5,7,7,4,system,2026-03-15
8,6,6,5,7,7,6,6,6,4,system,2026-03-15
9,6,6,4,4,5,6,7,7,4,system,2026-03-15
10,7,6,5,6,6,6,7,6,4,system,2026-03-15
