--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,GS,WS,ORtg,DRtg,OWS,DWS,WS/40,OBPM,DBPM,BPM,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Team,Player-additional
1,Doug McDermott,3150,DEN,1,11,2014,Creighton,2010-11,2013-14,145,145,26.8,123,104,21.6,5.2,.235,9.1,-0.7,8.4,30.2,8.2,20.6,14.8,10.4,0.5,0.3,11.7,32.3,F,Creighton,doug-mcdermott-1
2,Tyler Hansbrough,2872,IND,1,13,2009,North Carolina,2005-06,2008-09,142,141,28.5,,,17.2,11.3,.260,,,,,,,15.1,6.2,,1.0,11.3,27.2,F,North Carolina,tyler-hansbrough-1
3,J.J. Redick,2769,ORL,1,11,2006,Duke,2002-03,2005-06,139,134,23.5,,,18.4,5.1,.199,,,,,,,4.3,12.7,,0.1,11.6,25.7,G,Duke,jj-redick-1
4,Johni Broome,2698,PHI,2,35,2025,Auburn,2020-21,2024-25,168,163,26.8,116,90,14.8,11.9,.234,6.2,3.9,10.1,30.6,13.4,25.8,19.9,14.0,1.7,9.8,11.5,29.6,F,AuburnMorehead State,johni-broome-1
5,Stephen Curry,2635,GSW,1,7,2009,Davidson,2006-07,2008-09,104,103,27.3,,,18.0,9.3,.322,,,,,,,6.9,40.2,,0.6,12.9,38.3,G,Davidson,stephen-curry-1
6,Troy Bell,2632,BOS,1,16,2003,Boston College,1999-00,2002-03,122,122,22.9,,,15.3,7.6,.210,,,,,,,,,,,13.6,,G,Boston College,troy-bell-1
7,Jimmer Fredette,2599,MIL,1,10,2011,Brigham Young,2007-08,2010-11,139,102,23.0,121,99,16.8,6.2,.223,10.0,0.8,10.8,30.7,2.4,8.3,5.0,26.3,2.1,0.3,13.8,30.5,G,Brigham Young,jimmer-fredette-1
8,Andrew Goudelock,2571,LAL,2,46,2011,College of Charleston,2007-08,2010-11,140,124,18.3,115,107,14.9,3.4,.160,7.4,-1.4,6.0,25.2,2.4,10.4,5.7,19.3,1.7,0.7,12.2,28.2,G,College of Charleston,andrew-goudelock-1
9,Zach Edey,2516,MEM,1,9,2024,Purdue,2020-21,2023-24,138,108,26.9,130,96,19.9,7.0,.313,11.4,3.0,14.4,38.7,19.3,25.8,22.7,13.5,0.6,7.4,12.2,32.9,C,Purdue,zach-edey-1
10,Charles Jenkins,2513,GSW,2,44,2011,Hofstra,2007-08,2010-11,128,128,20.2,120,104,13.9,6.2,.176,8.4,1.2,9.6,27.5,2.5,9.4,6.6,26.0,2.9,1.4,14.7,28.4,G,Hofstra,charles-jenkins-1
11,Luke Harangody,2476,BOS,2,52,2010,Notre Dame,2006-07,2009-10,129,108,19.4,116,104,9.8,9.6,.206,,,,29.3,8.3,24.2,17.8,13.3,0.9,2.0,9.1,34.7,F,Notre Dame,luke-harangody-1
12,Grant Riller,2474,CHA,2,56,2020,College of Charleston,2016-17,2019-20,132,123,21.3,119,104,16.0,5.3,.200,4.6,0.7,5.3,26.2,1.8,10.3,6.1,20.7,2.3,0.9,12.5,29.0,G,College of Charleston,grant-riller-1
13,Nick Fazekas,2464,DAL,2,34,2007,Nevada,2003-04,2006-07,131,119,30.2,,,16.7,13.4,.306,,,,,,,18.6,12.4,,3.3,10.1,30.7,F,Nevada,nick-fazekas-1
14,Ryan Kalkbrenner,2443,CHA,2,34,2025,Creighton,2020-21,2024-25,169,138,28.6,133,98,19.4,9.3,.232,6.8,3.9,10.7,27.8,10.9,14.8,13.0,7.7,0.9,7.5,10.8,21.1,C,Creighton,ryan-kalkbrenner-1
15,Kyle Singler,2392,DET,2,33,2011,Duke,2007-08,2010-11,148,147,25.7,118,94,13.5,12.2,.210,4.6,1.8,6.4,21.6,7.5,14.0,11.6,11.9,1.6,1.8,12.6,24.7,F,Duke,kyle-singler-1
16,Ricky Minard,2381,SAC,2,48,2004,Morehead State,2000-01,2003-04,114,112,18.1,,,14.3,3.7,.191,,,,,,,12.4,26.7,,1.4,14.9,32.3,F,Morehead State,ricky-minard-1
17,C.J. McCollum,2361,POR,1,10,2013,Lehigh,2009-10,2012-13,111,108,20.5,115,96,13.9,6.6,.224,6.7,1.9,8.6,29.1,5.2,17.0,11.0,20.1,3.6,1.5,11.3,32.4,G,Lehigh,cj-mccollum-1
18,Nate Wolters,2352,WAS,2,38,2013,South Dakota State,2009-10,2012-13,127,109,23.8,121,103,19.1,4.7,.226,6.9,0.7,7.6,28.1,3.4,14.6,8.8,33.9,2.7,0.5,11.8,29.3,G,South Dakota State,nate-wolters-1
19,Antonio Reeves,2350,ORL,2,47,2024,Kentucky,2019-20,2023-24,156,107,14.1,113,110,11.0,3.1,.123,3.4,-0.9,2.5,17.8,2.3,9.6,6.0,9.2,1.3,0.9,10.5,25.2,G,Illinois StateKentucky,antonio-reeves-1
20,Craig Smith,2349,MIN,2,36,2006,Boston College,2002-03,2005-06,130,127,23.4,,,13.2,10.2,.212,,,,,,,14.5,11.0,,1.4,12.7,27.0,F,Boston College,craig-smith-1
21,Alec Peters,2348,PHO,2,54,2017,Valparaiso,2013-14,2016-17,134,134,24.4,124,96,16.1,8.3,.230,6.3,0.9,7.1,25.3,7.4,18.7,13.3,11.0,1.4,1.0,11.6,25.6,F,Valparaiso,alec-peters-1
22,Justin Wright-Foreman,2327,UTA,2,53,2019,Hofstra,2015-16,2018-19,125,82,15.8,120,111,13.8,2.0,.181,6.4,-1.5,4.9,25.4,1.4,10.8,6.1,16.3,1.4,0.6,9.9,30.9,G,Hofstra,justin-wright-foreman-1
23,Luka Garza,2306,DET,2,52,2021,Iowa,2017-18,2020-21,127,118,19.5,124,104,15.4,4.1,.226,8.8,0.8,9.6,30.5,11.2,18.3,14.9,10.0,1.1,4.7,8.7,29.5,F,Iowa,luka-garza-1
24,Joe Young,2304,IND,2,43,2015,Oregon,2011-12,2014-15,132,115,18.5,121,108,15.3,3.2,.171,5.8,-0.3,5.5,22.2,2.4,10.3,6.4,16.5,1.7,0.2,10.1,25.3,G,HoustonOregon,joseph-young-1
25,Buddy Hield,2291,NOH,1,6,2016,Oklahoma,2012-13,2015-16,132,118,18.5,115,101,12.2,6.2,.177,7.0,2.4,9.4,22.4,5.6,11.6,8.7,12.9,2.3,0.9,12.7,26.6,G,Oklahoma,buddy-hield-1
26,Juan Dixon,2269,WAS,1,17,2002,Maryland,1998-99,2001-02,141,107,20.6,,,12.2,8.4,.206,,,,,,,7.0,15.8,,0.4,15.4,26.1,G,Maryland,juan-dixon-1
27,Trayce Jackson-Davis,2258,WAS,2,57,2023,Indiana,2019-20,2022-23,126,126,23.6,120,95,15.6,8.0,.230,7.8,3.9,11.7,29.7,10.2,21.6,16.1,14.9,1.3,7.5,11.3,26.9,F,Indiana,trayce-jackson-davis-1
28,Andre Emmett,2256,OKC,2,35,2004,Texas Tech,2000-01,2003-04,128,97,17.6,,,9.4,8.2,.170,,,,,,,10.3,10.5,,0.6,10.4,26.5,G,Texas Tech,andre-emmett-1
29,Courtney Lee,2238,ORL,1,22,2008,Western Kentucky,2004-05,2007-08,127,127,18.7,,,11.1,7.5,.189,,,,,,,10.4,15.1,,1.0,14.1,25.4,G,Western Kentucky,courtney-lee-1
30,Baylor Scheierman,2233,BOS,1,30,2024,Creighton,2019-20,2023-24,162,133,22.4,117,99,13.9,8.5,.175,4.8,2.0,6.8,20.6,2.9,24.0,14.3,20.0,1.7,0.6,15.3,22.0,G,CreightonSouth Dakota State,baylor-scheierman-1
31,Georges Niang,2228,IND,2,50,2016,Iowa State,2012-13,2015-16,138,126,16.5,113,104,11.5,5.0,.160,4.9,1.5,6.4,21.5,4.6,14.6,9.8,20.0,1.3,1.6,14.3,26.9,F,Iowa State,georges-niang-1
32,Alando Tucker,2217,PHO,1,29,2007,Wisconsin,2002-03,2006-07,134,126,18.4,,,9.3,9.2,.172,,,,,,,10.6,13.7,,0.4,10.0,30.8,G,Wisconsin,alando-tucker-1
33,Orlando Johnson,2208,SAC,2,36,2012,UC Santa Barbara,2007-08,2011-12,124,122,15.8,114,101,11.9,3.9,.163,7.3,0.0,7.3,26.2,6.4,14.3,10.5,21.1,1.9,2.1,14.2,31.3,G,Loyola MarymountUC Santa Barbara,orlando-johnson-1
34,Jalen Pickett,2207,IND,2,32,2023,Penn State,2018-19,2022-23,144,142,23.3,116,102,16.3,7.0,.175,5.3,1.5,6.8,22.8,3.5,14.1,8.9,35.0,2.1,2.4,13.1,24.4,G,Penn StateSiena,jalen-pickett-1
35,Sam Merrill,2197,NOH,2,60,2020,Utah State,2016-17,2019-20,131,118,22.4,126,102,16.2,6.2,.206,5.4,1.6,7.0,22.1,1.1,11.0,6.2,22.2,1.7,0.7,10.6,22.8,G,Utah State,sam-merrill-1
36,Terrence Shannon Jr.,2185,MIN,1,27,2024,Illinois,2019-20,2023-24,146,115,20.5,118,98,13.1,7.4,.197,5.2,2.8,8.0,21.7,4.0,11.8,8.0,13.5,2.1,1.6,12.7,25.6,G,IllinoisTexas Tech,terrence-shannonjr-1
37,Toney Douglas,2180,LAL,1,29,2009,Florida State,2004-05,2008-09,130,126,15.3,,,10.6,4.7,.137,,,,,,,5.8,19.3,,0.8,14.6,25.9,G,AuburnFlorida State,toney-douglas-1
38,Marcus Thornton,2178,BOS,2,45,2015,William & Mary,2011-12,2014-15,127,107,10.8,107,112,9.4,1.4,.100,2.7,-3.5,-0.7,18.5,1.2,8.1,4.7,16.5,1.3,0.8,14.5,28.7,G,William & Mary,marcus-thornton-3
39,Greivis Vasquez,2171,MEM,1,28,2010,Maryland,2006-07,2009-10,136,123,17.4,114,98,9.5,7.9,.153,,,,25.6,3.8,10.2,7.6,32.7,2.8,0.7,18.2,26.0,G,Maryland,greivis-vasquez-1
40,Luis Flores,2160,HOU,2,55,2004,Manhattan,1999-00,2003-04,119,89,18.1,,,12.4,5.8,.198,,,,,,,7.4,15.6,,0.6,14.0,28.4,G,ManhattanRutgers,luis-flores-1
