--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,PTS,From,To,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,Player-additional
1,Antoine Davis,3664,2018-19,2022-23,144,143,5376,1219,2987,.408,631,1421,.444,588,1566,.375,638,715,.892,.551,63,392,455,593,181,6,513,300,3664,15.0,2.4,antoine-davis-2
2,Chris Clemons,3225,2015-16,2018-19,130,126,4433,1024,2306,.444,580,1083,.536,444,1223,.363,733,860,.852,.594,63,524,587,335,213,47,324,265,3225,17.1,4.4,chris-clemons-2
3,Doug McDermott,3150,2010-11,2013-14,145,145,4569,1141,2075,.550,867,1477,.587,274,598,.458,594,715,.831,.652,281,807,1088,194,34,14,321,265,3150,15.8,8.4,doug-mcdermott-1
4,Max Abmas,3132,2019-20,2023-24,157,157,5474,1035,2380,.435,523,1043,.501,512,1337,.383,550,622,.884,.585,63,451,514,537,171,24,310,299,3132,13.8,4.3,max-abmas-1
5,Mike Daum,3067,2015-16,2018-19,137,106,4038,1005,1994,.504,734,1333,.551,271,661,.410,786,927,.848,.630,289,947,1236,179,78,84,299,337,3067,17.0,6.6,mike-daum-1
6,Mark Sears,2839,2020-21,2024-25,170,151,5256,870,1955,.445,544,1086,.501,326,869,.375,773,901,.858,.596,162,507,669,660,218,15,400,288,2839,13.0,7.5,mark-sears-1
7,Hunter Dickinson,2800,2020-21,2024-25,161,156,4955,1132,2039,.555,1048,1791,.585,84,248,.339,452,620,.729,.600,393,1095,1488,295,105,240,330,371,2800,14.7,9.6,hunter-dickinson-1
8,Caleb Love,2762,2020-21,2024-25,174,169,5736,922,2426,.380,532,1231,.432,390,1195,.326,528,632,.835,.507,69,596,665,586,191,49,422,276,2762,9.9,4.6,caleb-love-1
9,Markus Howard,2761,2016-17,2019-20,128,121,3853,864,1945,.444,430,928,.463,434,1017,.427,599,679,.882,.609,52,361,413,392,122,6,380,306,2761,13.7,8.2,markus-howard-1
10,RJ Davis,2725,2020-21,2024-25,175,155,5683,900,2155,.418,541,1178,.459,359,977,.367,566,657,.861,.552,84,575,659,568,178,23,302,352,2725,11.0,6.5,rj-davis-1
11,Tyler Haws,2718,2009-10,2014-15,139,126,4427,917,1916,.479,755,1489,.507,162,427,.379,722,818,.883,.590,177,416,593,257,138,28,244,230,2718,14.1,5.3,tyler-haws-1
12,Johni Broome,2698,2020-21,2024-25,168,163,4564,1092,2025,.539,1030,1820,.566,62,205,.302,452,750,.603,.567,517,1077,1594,286,136,419,308,404,2698,14.5,9.9,johni-broome-1
13,Tyler Hansbrough,2692,2005-06,2008-09,131,130,4076,885,1660,.533,873,1622,.538,12,38,.316,910,1148,.793,.610,443,696,1139,139,169,60,272,323,2692,16.9,,tyler-hansbrough-1
14,Darius McGhee,2685,2018-19,2022-23,168,132,5024,914,2081,.439,386,706,.547,528,1375,.384,329,379,.868,.594,60,566,626,381,184,35,263,218,2685,11.4,5.5,darius-mcghee-1
15,Jermaine Marrow,2680,2016-17,2019-20,128,121,4469,883,2232,.396,653,1502,.435,230,730,.315,684,872,.784,.506,103,397,500,632,154,10,416,363,2680,12.7,-1.2,jermaine-marrow-1
16,Taevion Kinsey,2641,2018-19,2022-23,154,130,5251,1008,1990,.507,909,1662,.547,99,328,.302,526,719,.732,.566,286,473,759,550,168,57,326,256,2641,13.5,2.8,taevion-kinsey-1
17,Jon Elmore,2636,2015-16,2018-19,133,131,4806,797,1951,.409,441,950,.464,356,1001,.356,686,849,.808,.560,67,569,636,783,181,43,419,257,2636,14.9,2.7,jon-elmore-1
18,Stephen Curry,2635,2006-07,2008-09,104,92,3387,871,1866,.467,457,862,.530,414,1004,.412,479,547,.876,.620,81,392,473,388,221,28,314,253,2635,18.5,,stephen-curry-1
19,Jahmir Young,2626,2019-20,2023-24,152,152,5216,851,1993,.427,605,1262,.479,246,731,.337,678,798,.850,.554,129,646,775,501,192,54,347,170,2626,13.0,6.5,jahmir-young-1
20,Jimmer Fredette,2582,2007-08,2010-11,138,74,4092,833,1835,.454,538,1086,.495,295,749,.394,621,704,.882,.595,74,292,366,514,166,12,349,171,2582,13.4,3.4,jimmer-fredette-1
21,Graham Ike,2575,2020-21,2025-26,146,138,3916,991,1744,.568,944,1609,.587,47,135,.348,546,714,.765,.618,327,817,1144,208,94,84,299,441,2575,13.6,7.2,graham-ike-1
22,Andrew Goudelock,2556,2007-08,2010-11,139,101,4553,951,2075,.458,558,1129,.494,393,946,.415,261,312,.837,.575,88,374,462,423,130,36,309,212,2556,12.2,1.7,andrew-goudelock-1
23,Jhivvan Jackson,2551,2017-18,2020-21,115,88,3573,868,2061,.421,501,1038,.483,367,1023,.359,448,548,.818,.549,66,431,497,286,136,19,300,326,2551,13.1,3.7,jhivvan-jackson-1
24,Jordan Howard,2524,2014-15,2017-18,124,122,4311,790,1823,.433,404,889,.454,386,934,.413,558,643,.868,.593,43,364,407,320,104,4,298,146,2524,13.3,0.3,jordan-howard-2
25,Tyler Hall,2518,2015-16,2018-19,126,124,4160,849,1895,.448,418,818,.511,431,1077,.400,389,453,.859,.597,87,515,602,316,122,40,245,260,2518,13.8,4.1,tyler-hall-2
26,Fletcher Magee,2516,2015-16,2018-19,134,123,4261,807,1766,.457,298,597,.499,509,1169,.435,393,433,.908,.638,43,350,393,218,92,13,208,206,2516,12.6,4.8,fletcher-magee-1
27,Zach Edey,2516,2020-21,2023-24,138,108,3439,925,1490,.621,924,1488,.621,1,2,.500,665,942,.706,.649,532,789,1321,185,32,232,269,270,2516,16.6,14.4,zach-edey-1
28,Charles Jenkins,2513,2007-08,2010-11,128,102,4592,847,1856,.456,667,1385,.482,180,471,.382,639,788,.811,.563,130,421,551,489,213,71,385,317,2513,14.1,2.5,charles-jenkins-1
29,Terry Taylor,2507,2017-18,2020-21,127,127,4370,967,1804,.536,814,1355,.601,153,449,.341,420,579,.725,.603,515,733,1248,172,130,132,275,260,2507,16.6,4.9,terry-taylor-5
30,Garrison Mathews,2478,2015-16,2018-19,134,112,3774,755,1693,.446,395,730,.541,360,963,.374,608,771,.789,.602,139,528,667,252,117,32,275,308,2478,12.7,3.8,garrison-matthews-1
31,Grant Riller,2474,2016-17,2019-20,132,123,4265,880,1695,.519,693,1169,.593,187,526,.356,527,662,.796,.616,61,374,435,366,165,33,287,255,2474,13.6,5.1,grant-riller-1
32,Marques Warrick,2465,2020-21,2024-25,158,121,4667,849,1964,.432,530,1070,.495,319,894,.357,448,538,.833,.555,86,264,350,332,155,22,263,165,2465,10.2,2.3,marques-warrick-1
33,D.J. Balentine,2464,2012-13,2015-16,139,104,4644,824,1910,.431,561,1208,.464,263,702,.375,553,698,.792,.550,66,311,377,472,86,26,295,181,2464,11.5,2.7,dj-balentine-1
34,Luke Harangody,2464,2006-07,2009-10,128,116,3750,934,1960,.477,892,1831,.487,42,129,.326,554,710,.780,.536,386,834,1220,207,97,95,230,312,2464,14.7,,luke-harangody-1
35,Reggie Williams,2459,2004-05,2007-08,107,106,3653,896,1800,.498,707,1178,.600,189,622,.304,478,680,.703,.579,268,514,782,362,166,35,297,204,2459,17.6,,reggie-williams-3
36,Souley Boum,2455,2017-18,2022-23,159,123,4984,728,1843,.395,429,1016,.422,299,827,.362,700,826,.847,.549,82,509,591,406,170,23,297,299,2455,10.5,3.3,souley-boum-1
37,Ryan Kalkbrenner,2443,2020-21,2024-25,169,138,4942,984,1495,.658,938,1347,.696,46,148,.311,429,605,.709,.685,438,708,1146,180,74,399,216,274,2443,14.2,10.7,ryan-kalkbrenner-1
38,Dallas Moore,2437,2013-14,2016-17,135,135,4463,904,1870,.483,629,1165,.540,275,705,.390,354,463,.765,.583,91,328,419,551,123,12,302,159,2437,13.0,1.2,dallas-moore-1
39,Gibson Jimerson,2428,2019-20,2024-25,166,150,5466,817,1879,.435,395,788,.501,422,1091,.387,372,443,.840,.581,99,392,491,188,92,21,195,197,2428,9.4,1.9,gibson-jimerson-1
40,Tucker DeVries,2423,2021-22,2025-26,144,137,4771,810,1893,.428,452,895,.505,358,998,.359,445,543,.820,.563,111,683,794,388,175,79,250,320,2423,12.4,6.9,tucker-devries-1
41,Charles Williams,2404,2016-17,2019-20,133,122,4347,855,2005,.426,607,1310,.463,248,695,.357,446,582,.766,.527,106,325,431,103,92,48,221,278,2404,10.0,-2.9,charles-williams-5
42,Kevin Foster,2397,2008-09,2012-13,132,106,4174,762,1963,.388,335,784,.427,427,1179,.362,446,571,.781,.536,60,295,355,463,233,21,401,303,2397,11.0,3.4,kevin-foster-2
43,Jayden Gardner,2395,2018-19,2022-23,149,147,4691,891,1773,.503,879,1720,.511,12,53,.226,601,811,.741,.555,369,751,1120,206,116,60,286,353,2395,12.0,3.3,jayden-gardner-1
44,Kellan Grady,2389,2017-18,2021-22,149,147,5238,869,1859,.467,541,991,.546,328,868,.378,323,425,.760,.580,70,470,540,292,137,20,207,234,2389,11.0,4.1,kellan-grady-1
45,Rayshon Harrison,2381,2020-21,2024-25,156,156,5171,773,1928,.401,557,1208,.461,216,720,.300,619,757,.818,.520,114,457,571,505,152,34,346,296,2381,10.0,1.0,rayshon-harrison-1
46,Stefon Jackson,2379,2005-06,2008-09,122,55,3997,783,1758,.445,676,1428,.473,107,330,.324,706,919,.768,.542,203,424,627,202,136,11,242,312,2379,12.8,,stefon-jackson-1
47,Chasson Randle,2375,2011-12,2014-15,144,142,4791,760,1775,.428,456,988,.462,304,787,.386,551,684,.806,.566,75,396,471,354,167,11,324,385,2375,10.4,6.1,chasson-randle-1
48,Norchad Omier,2374,2020-21,2024-25,155,152,4579,909,1590,.572,859,1431,.600,50,159,.314,506,688,.735,.619,589,1105,1694,191,204,188,347,494,2374,14.3,6.2,norchad-omier-1
