--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,PTS,STL%,BLK%,OBPM,DBPM,PER,ORB%,DRB%,TS%,3PAr,eFG%,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,GS,WS,ORtg,DRtg,OWS,DWS,WS/40,OBPM,DBPM,BPM,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Team,Player-additional
1,Johni Broome,2698,1.7,9.8,6.2,3.9,30.6,13.4,25.8,.567,.101,.555,PHI,2,35,2025,Auburn,2020-21,2024-25,168,163,26.8,116,90,14.8,11.9,.234,6.2,3.9,10.1,30.6,13.4,25.8,19.9,14.0,1.7,9.8,11.5,29.6,F,AuburnMorehead State,johni-broome-1
2,Jimmer Fredette,2599,2.1,0.3,10.0,0.8,30.7,2.4,8.3,.596,.408,.535,MIL,1,10,2011,Brigham Young,2007-08,2010-11,139,102,23.0,121,99,16.8,6.2,.223,10.0,0.8,10.8,30.7,2.4,8.3,5.0,26.3,2.1,0.3,13.8,30.5,G,Brigham Young,jimmer-fredette-1
3,Zach Edey,2516,0.6,7.4,11.4,3.0,38.7,19.3,25.8,.649,.001,.621,MEM,1,9,2024,Purdue,2020-21,2023-24,138,108,26.9,130,96,19.9,7.0,.313,11.4,3.0,14.4,38.7,19.3,25.8,22.7,13.5,0.6,7.4,12.2,32.9,C,Purdue,zach-edey-1
4,Charles Jenkins,2513,2.9,1.4,8.4,1.2,27.5,2.5,9.4,.563,.254,.505,GSW,2,44,2011,Hofstra,2007-08,2010-11,128,128,20.2,120,104,13.9,6.2,.176,8.4,1.2,9.6,27.5,2.5,9.4,6.6,26.0,2.9,1.4,14.7,28.4,G,Hofstra,charles-jenkins-1
5,Grant Riller,2474,2.3,0.9,4.6,0.7,26.2,1.8,10.3,.616,.310,.574,CHA,2,56,2020,College of Charleston,2016-17,2019-20,132,123,21.3,119,104,16.0,5.3,.200,4.6,0.7,5.3,26.2,1.8,10.3,6.1,20.7,2.3,0.9,12.5,29.0,G,College of Charleston,grant-riller-1
6,Ryan Kalkbrenner,2443,0.9,7.5,6.8,3.9,27.8,10.9,14.8,.685,.099,.674,CHA,2,34,2025,Creighton,2020-21,2024-25,169,138,28.6,133,98,19.4,9.3,.232,6.8,3.9,10.7,27.8,10.9,14.8,13.0,7.7,0.9,7.5,10.8,21.1,C,Creighton,ryan-kalkbrenner-1
7,Kyle Singler,2392,1.6,1.8,4.6,1.8,21.6,7.5,14.0,.548,.392,.504,DET,2,33,2011,Duke,2007-08,2010-11,148,147,25.7,118,94,13.5,12.2,.210,4.6,1.8,6.4,21.6,7.5,14.0,11.6,11.9,1.6,1.8,12.6,24.7,F,Duke,kyle-singler-1
8,C.J. McCollum,2361,3.6,1.5,6.7,1.9,29.1,5.2,17.0,.563,.330,.501,POR,1,10,2013,Lehigh,2009-10,2012-13,111,108,20.5,115,96,13.9,6.6,.224,6.7,1.9,8.6,29.1,5.2,17.0,11.0,20.1,3.6,1.5,11.3,32.4,G,Lehigh,cj-mccollum-1
9,Nate Wolters,2352,2.7,0.5,6.9,0.7,28.1,3.4,14.6,.560,.269,.497,WAS,2,38,2013,South Dakota State,2009-10,2012-13,127,109,23.8,121,103,19.1,4.7,.226,6.9,0.7,7.6,28.1,3.4,14.6,8.8,33.9,2.7,0.5,11.8,29.3,G,South Dakota State,nate-wolters-1
10,Alec Peters,2348,1.4,1.0,6.3,0.9,25.3,7.4,18.7,.621,.428,.576,PHO,2,54,2017,Valparaiso,2013-14,2016-17,134,134,24.4,124,96,16.1,8.3,.230,6.3,0.9,7.1,25.3,7.4,18.7,13.3,11.0,1.4,1.0,11.6,25.6,F,Valparaiso,alec-peters-1
