--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,WS,Draft Team,Round,Pick,Draft Year,College,From,To,Age,G,GS,AS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Team,Player-additional
1,LeBron James,276.8,CLE,1,1,2003,,2003-04,2025-26,19-41,1622,1620,22,276.8,116,106,191.1,85.7,.218,6.7,1.6,8.4,159.4,26.7,3.5,18.9,11.4,36.4,2.0,1.6,13.3,31.3,F-G,CLELALMIA,jamesle01
2,Chris Paul,215.2,NOH,1,4,2005,Wake Forest,2005-06,2025-26,20-40,1370,1314,12,215.2,123,107,155.2,60.0,.225,4.5,2.0,6.5,98.8,23.5,2.0,12.9,7.5,44.0,3.1,0.4,13.5,22.7,G,GSWHOULACNOHNOKOKCPHOSAS,paulch01
3,Kevin Durant,186.1,OKC,1,2,2007,Texas,2007-08,2025-26,19-37,1201,1198,16,186.1,118,108,132.4,53.7,.203,5.7,0.6,6.3,92.2,24.6,2.1,18.3,10.5,20.6,1.4,2.5,12.7,29.9,F-G,BRKGSWHOUOKCPHOSEA,duranke01
4,James Harden,182.4,OKC,1,3,2009,Arizona State,2009-10,2025-26,20-36,1221,1007,11,182.4,119,109,133.4,49.0,.206,5.5,0.7,6.2,87.9,23.5,2.4,15.3,9.0,34.2,2.1,1.4,15.7,29.4,G,BRKCLEHOULACOKCPHI,hardeja01
5,Stephen Curry,147.1,GSW,1,7,2009,Davidson,2009-10,2025-26,21-37,1069,1061,12,147.1,118,109,106.7,40.4,.195,6.2,0.2,6.4,77.2,23.4,2.1,12.6,7.5,30.7,2.2,0.7,13.5,29.2,G,GSW,curryst01
6,Pau Gasol,144.1,ATL,1,3,2001,,2001-02,2018-19,21-38,1226,1150,6,144.1,113,104,89.9,54.1,.169,2.8,0.8,3.6,57.5,21.4,8.6,22.2,15.5,16.7,0.8,3.5,12.5,23.3,C-F,CHILALMEMMILSAS,gasolpa01
7,Nikola Jokić,142.9,DEN,2,41,2014,,2015-16,2025-26,20-30,810,769,8,142.9,127,108,104.5,38.4,.265,7.6,3.1,10.6,82.5,28.8,9.5,28.7,19.3,38.3,2.0,2.0,14.7,27.5,C-F,DEN,jokicni01
8,Dwight Howard,141.7,ORL,1,1,2004,,2004-05,2021-22,19-36,1242,1078,8,141.7,111,100,65.6,76.2,.172,0.9,1.0,1.9,39.0,21.3,12.2,29.6,21.1,7.3,1.4,4.4,17.0,22.3,C,ATLCHOHOULALORLPHIWAS,howardw01
9,Jimmy Butler,129.4,CHI,1,30,2011,Marquette,2011-12,2025-26,22-36,907,802,6,129.4,124,108,90.8,38.6,.207,3.7,1.3,5.0,52.8,21.8,5.7,12.3,9.0,21.3,2.4,1.1,9.4,22.9,F-G,CHIGSWMIAMINPHI,butleji01
10,Giannis Antetokounmpo,125.8,MIL,1,15,2013,,2013-14,2025-26,19-31,895,830,10,125.8,118,106,79.8,45.9,.206,4.6,2.2,6.8,65.5,26.1,6.5,26.0,16.5,27.1,1.7,3.2,13.3,30.1,F-G,MIL,antetgi01
