--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,,,,,,,Per 36 MP,,,,,,,,,,,,,,,,,,,,,,,,,-additional
Rk,Player,WS,Draft Team,Round,Pick,Draft Year,College,From,To,Age,G,GS,AS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
1,LeBron James,276.8,CLE,1,1,2003,,2003-04,2025-26,19-41,1622,1620,22,9.4,18.6,7.9,14.1,1.6,4.5,5.2,7.1,1.1,6.0,7.1,7.1,1.4,0.7,3.3,1.7,25.6,.507,.557,.348,.737,.590,.549,F-G,CLELALMIA,jamesle01
2,Chris Paul,215.2,NOH,1,4,2005,Wake Forest,2005-06,2025-26,20-40,1370,1314,12,6.4,13.7,4.9,9.7,1.5,4.0,3.8,4.4,0.6,4.1,4.7,9.9,2.1,0.2,2.4,2.5,18.1,.469,.510,.370,.870,.580,.523,G,GSWHOULACNOHNOKOKCPHOSAS,paulch01
3,Kevin Durant,186.1,OKC,1,2,2007,Texas,2007-08,2025-26,19-37,1201,1198,16,9.2,18.3,7.3,13.3,1.9,5.0,6.3,7.1,0.6,6.1,6.7,4.3,1.0,1.1,3.1,1.9,26.6,.503,.545,.392,.882,.622,.556,F-G,BRKGSWHOUOKCPHOSEA,duranke01
4,James Harden,182.4,OKC,1,3,2009,Arizona State,2009-10,2025-26,20-36,1221,1007,11,7.3,16.7,4.5,8.8,2.9,7.9,7.3,8.5,0.8,5.0,5.8,7.5,1.5,0.6,3.8,2.5,24.9,.439,.506,.364,.863,.608,.525,G,BRKCLEHOULACOKCPHI,hardeja01
5,Stephen Curry,147.1,GSW,1,7,2009,Davidson,2009-10,2025-26,21-37,1069,1061,12,8.9,19.0,4.7,9.0,4.2,10.0,4.2,4.6,0.7,4.3,4.9,6.7,1.6,0.3,3.3,2.4,26.3,.471,.526,.422,.912,.626,.582,G,GSW,curryst01
6,Pau Gasol,144.1,ATL,1,3,2001,,2001-02,2018-19,21-38,1226,1150,6,7.0,13.8,6.8,13.4,0.2,0.4,4.2,5.5,2.7,7.2,9.9,3.4,0.5,1.7,2.3,2.3,18.3,.507,.512,.368,.753,.565,.513,C-F,CHILALMEMMILSAS,gasolpa01
7,Nikola Jokić,142.9,DEN,2,41,2014,,2015-16,2025-26,20-30,810,769,8,9.6,17.1,8.3,13.5,1.3,3.6,4.6,5.6,3.0,9.4,12.5,8.4,1.4,0.8,3.4,3.0,25.0,.561,.613,.362,.825,.641,.598,C-F,DEN,jokicni01
8,Dwight Howard,141.7,ORL,1,1,2004,,2004-05,2021-22,19-36,1242,1078,8,6.4,11.0,6.4,10.9,0.0,0.1,4.9,8.6,3.8,9.6,13.3,1.5,1.0,2.0,3.0,3.6,17.8,.587,.590,.214,.567,.602,.588,C,ATLCHOHOULALORLPHIWAS,howardw01
9,Jimmy Butler,129.4,CHI,1,30,2011,Marquette,2011-12,2025-26,22-36,907,802,6,6.5,13.7,5.6,11.1,0.9,2.6,6.2,7.4,1.8,4.0,5.8,4.8,1.7,0.5,1.8,1.5,20.0,.474,.508,.330,.844,.592,.505,F-G,CHIGSWMIAMINPHI,butleji01
10,Giannis Antetokounmpo,125.8,MIL,1,15,2013,,2013-14,2025-26,19-31,895,830,10,9.7,17.5,9.0,15.1,0.7,2.4,6.4,9.2,2.1,8.8,10.9,5.5,1.2,1.3,3.3,3.2,26.5,.554,.596,.285,.691,.613,.573,F-G,MIL,antetgi01
11,Rudy Gobert,124.9,DEN,1,27,2013,,2013-14,2025-26,21-33,905,813,3,5.5,8.3,5.5,8.3,0.0,0.0,3.6,5.7,4.0,9.7,13.7,1.6,0.8,2.4,1.9,3.1,14.6,.658,.660,.000,.633,.672,.658,C,MINUTA,goberru01
12,Dwyane Wade,120.7,MIA,1,5,2003,Marquette,2003-04,2018-19,22-37,1054,909,13,8.5,17.7,8.0,15.8,0.6,1.9,5.7,7.5,1.3,3.7,5.0,5.7,1.6,0.9,3.3,2.3,23.3,.480,.502,.293,.765,.554,.495,G,CHICLEMIA,wadedw01
13,Anthony Davis,120.1,NOH,1,1,2012,Kentucky,2012-13,2025-26,19-32,807,800,10,9.4,18.1,8.9,16.4,0.5,1.7,5.8,7.3,2.8,8.4,11.2,2.7,1.4,2.4,2.1,2.4,25.2,.522,.546,.295,.793,.591,.536,F-C,DALLALNOHNOP,davisan02
14,Al Horford,119.4,ATL,1,3,2007,Florida,2007-08,2025-26,21-39,1183,1091,5,6.1,11.9,5.0,9.2,1.0,2.7,1.6,2.1,2.2,6.8,8.9,3.7,0.9,1.3,1.6,2.4,14.7,.507,.546,.376,.764,.573,.550,C-F,ATLBOSGSWOKCPHI,horfoal01
15,Damian Lillard,118.4,POR,1,6,2012,Weber State,2012-13,2024-25,22-34,900,900,9,8.0,18.3,4.9,9.9,3.1,8.3,5.8,6.5,0.6,3.7,4.2,6.7,1.0,0.3,2.8,1.9,24.9,.439,.495,.371,.899,.590,.523,G,MILPOR,lillada01
16,LaMarcus Aldridge,115.6,CHI,1,2,2006,Texas,2006-07,2021-22,21-36,1076,997,7,8.3,16.8,8.0,16.1,0.2,0.7,3.7,4.5,2.8,5.9,8.7,2.1,0.8,1.2,1.6,2.6,20.4,.493,.500,.320,.813,.544,.499,F-C,BRKPORSAS,aldrila01
